timestamp,temperature_c,vibration_mm_s,pressure_bar
2025-01-04 18:00:00,22.91,1.523,1.01238
2025-01-04 19:00:00,21.74,1.69,1.00756
2025-01-04 20:00:00,20.65,1.571,1.0081799999999999
2025-01-04 21:00:00,19.74,1.863,1.00942
2025-01-04 22:00:00,19.07,1.927,1.01179
2025-01-04 23:00:00,18.69,1.701,1.01131
2025-01-05 00:00:00,15.73,0.927,1.00918
2025-01-05 01:00:00,16.02,0.866,1.00896
2025-01-05 02:00:00,16.64,1.205,1.0111
2025-01-05 03:00:00,17.56,0.904,1.00796
2025-01-05 04:00:00,18.71,0.938,1.011
2025-01-05 05:00:00,20.04,0.959,1.00464
2025-01-05 06:00:00,21.46,1.142,1.0071
2025-01-05 07:00:00,22.87,1.537,1.0029400000000002
2025-01-05 08:00:00,24.2,1.078,1.00636
2025-01-05 09:00:00,25.36,1.278,1.00633
2025-01-05 10:00:00,26.27,1.285,1.0076
2025-01-05 11:00:00,26.89,1.188,1.00313
2025-01-05 12:00:00,27.18,1.608,1.00402
2025-01-05 13:00:00,27.13,1.326,1.00548
2025-01-05 14:00:00,26.76,1.423,1.0049
2025-01-05 15:00:00,26.08,1.757,1.00392
2025-01-05 16:00:00,25.17,1.508,1.0042
2025-01-05 17:00:00,24.08,1.624,1.0025
2025-01-05 18:00:00,22.91,1.632,1.00425
2025-01-05 19:00:00,21.74,1.792,1.00454
2025-01-05 20:00:00,20.65,1.587,1.00319
2025-01-05 21:00:00,19.74,2.051,1.00326
2025-01-05 22:00:00,19.07,1.866,1.00357
2025-01-05 23:00:00,18.69,1.679,1.0061
2025-01-06 00:00:00,15.73,1.007,1.00292
2025-01-06 01:00:00,16.02,1.081,1.00578
2025-01-06 02:00:00,16.64,0.868,1.00085
2025-01-06 03:00:00,17.56,1.541,1.00352
2025-01-06 04:00:00,18.71,1.234,1.00543
2025-01-06 05:00:00,20.04,0.994,1.00297
2025-01-06 06:00:00,21.46,1.411,1.0061799999999999
2025-01-06 07:00:00,22.87,1.378,1.00639
2025-01-06 08:00:00,24.2,1.192,1.00522
2025-01-06 09:00:00,25.36,1.381,0.99858
2025-01-06 10:00:00,26.27,1.576,1.0024
2025-01-06 11:00:00,26.89,1.596,1.00211
2025-01-06 12:00:00,27.18,1.764,1.0048
2025-01-06 13:00:00,27.13,1.529,1.0016100000000001
2025-01-06 14:00:00,26.76,1.305,1.0021900000000001
2025-01-06 15:00:00,26.08,1.754,1.00747
2025-01-06 16:00:00,25.17,1.789,1.00128
2025-01-06 17:00:00,24.08,1.424,1.0029400000000002
2025-01-06 18:00:00,22.91,1.602,1.00393
2025-01-06 19:00:00,21.74,1.622,1.00597
2025-01-06 20:00:00,20.65,1.562,1.00785
2025-01-06 21:00:00,19.74,1.974,1.00601
2025-01-06 22:00:00,19.07,1.62,1.00092
2025-01-06 23:00:00,18.69,1.795,1.0064
2025-01-07 00:00:00,15.73,1.07,1.00365
2025-01-07 01:00:00,16.02,1.116,1.00577
2025-01-07 02:00:00,16.64,0.867,1.00282
2025-01-07 03:00:00,17.56,0.903,1.00731
2025-01-07 04:00:00,18.71,1.272,1.00409
2025-01-07 05:00:00,20.04,1.133,1.00609
2025-01-07 06:00:00,21.46,1.065,1.0062200000000001
2025-01-07 07:00:00,22.87,1.322,1.0084199999999999
2025-01-07 08:00:00,24.2,1.307,1.00787
2025-01-07 09:00:00,25.36,1.346,1.01192
2025-01-07 10:00:00,26.27,1.29,1.00777
2025-01-07 11:00:00,26.89,1.401,1.00888
2025-01-07 12:00:00,27.18,1.377,1.00867
2025-01-07 13:00:00,27.13,1.359,1.01157
2025-01-07 14:00:00,26.76,1.37,1.01165
2025-01-07 15:00:00,26.08,1.351,1.01001
2025-01-07 16:00:00,25.17,1.39,1.01074
2025-01-07 17:00:00,24.08,1.454,1.00974
2025-01-07 18:00:00,22.91,1.514,1.01302
2025-01-07 19:00:00,21.74,1.508,1.01167
2025-01-07 20:00:00,20.65,1.958,1.01271
2025-01-07 21:00:00,19.74,2.208,1.0101900000000001
2025-01-07 22:00:00,19.07,2.407,1.01586
2025-01-07 23:00:00,18.69,1.737,1.01284
2025-01-01 00:00:00,15.56,1.189,1.01185
2025-01-01 01:00:00,15.82,0.904,1.01348
2025-01-01 02:00:00,16.41,0.82,1.0123
2025-01-01 03:00:00,17.3,1.394,1.01724
2025-01-01 04:00:00,18.43,0.918,1.01182
2025-01-01 05:00:00,19.73,1.376,1.0149299999999999
2025-01-01 06:00:00,21.12,1.032,1.01421
2025-01-01 07:00:00,22.5,1.074,1.01724
2025-01-01 08:00:00,23.8,1.239,1.0168300000000001
2025-01-01 09:00:00,24.93,1.286,1.0165
2025-01-01 10:00:00,25.82,1.409,1.01987
2025-01-01 11:00:00,26.41,1.294,1.01636
2025-01-01 12:00:00,26.67,1.639,1.01969
2025-01-01 13:00:00,26.6,1.493,1.01663
2025-01-01 14:00:00,26.19,1.412,1.021
2025-01-01 15:00:00,25.49,1.401,1.01769
2025-01-01 16:00:00,24.55,1.557,1.01864
2025-01-01 17:00:00,23.43,1.801,1.02041
2025-01-01 18:00:00,22.23,1.526,1.01929
2025-01-01 19:00:00,21.03,1.779,1.0196
2025-01-01 20:00:00,19.92,1.639,1.01928
2025-01-01 21:00:00,18.98,1.648,1.0185499999999998
2025-01-01 22:00:00,18.27,1.627,1.01986
2025-01-01 23:00:00,17.87,1.694,1.01785
2025-01-02 00:00:00,15.56,1.126,1.0184600000000001
2025-01-02 01:00:00,15.82,1.01,1.02174
2025-01-02 02:00:00,16.41,0.832,1.0194
2025-01-02 03:00:00,17.3,0.944,1.02099
2025-01-02 04:00:00,18.43,1.365,1.02069
2025-01-02 05:00:00,19.73,1.038,1.02166
2025-01-02 06:00:00,21.12,0.983,1.0239099999999999
2025-01-02 07:00:00,22.5,1.068,1.02345
2025-01-02 08:00:00,23.8,1.153,1.02043
2025-01-02 09:00:00,24.93,1.203,1.02698
2025-01-02 10:00:00,25.82,1.36,1.02705
2025-01-02 11:00:00,26.41,1.555,1.02519
2025-01-02 12:00:00,26.67,1.579,1.02108
2025-01-02 13:00:00,26.6,1.494,1.03029
2025-01-02 14:00:00,26.19,1.576,1.02345
2025-01-02 15:00:00,25.49,1.735,1.02632
2025-01-02 16:00:00,24.55,1.773,1.0228300000000001
2025-01-02 17:00:00,23.43,1.549,1.02448
2025-01-02 18:00:00,22.23,1.58,1.02562
2025-01-02 19:00:00,21.03,1.755,1.02241
2025-01-02 20:00:00,19.92,2.091,1.0221
2025-01-02 21:00:00,18.98,1.629,1.02553
2025-01-02 22:00:00,18.27,2.32,1.02211
2025-01-02 23:00:00,17.87,1.839,1.0236399999999999
2025-01-03 00:00:00,15.56,0.904,1.02374
2025-01-03 01:00:00,15.82,1.68,1.0219500000000001
2025-01-03 02:00:00,16.41,0.933,1.02174
2025-01-03 03:00:00,17.3,1.24,1.0239500000000001
2025-01-03 04:00:00,18.43,1.085,1.02158
2025-01-03 05:00:00,19.73,1.208,1.02425
2025-01-03 06:00:00,21.12,1.004,1.0176
2025-01-03 07:00:00,22.5,1.101,1.02378
2025-01-03 08:00:00,23.8,1.102,1.0201799999999999
2025-01-03 09:00:00,24.93,1.209,1.02291
2025-01-03 10:00:00,25.82,1.198,1.02146
2025-01-03 11:00:00,26.41,1.204,1.01917
2025-01-03 12:00:00,26.67,1.391,1.02091
2025-01-03 13:00:00,26.6,1.413,1.01947
2025-01-03 14:00:00,26.19,1.691,1.02313
2025-01-03 15:00:00,25.49,1.472,1.02025
2025-01-03 16:00:00,24.55,1.742,1.0185499999999998
2025-01-03 17:00:00,23.43,1.692,1.01774
2025-01-03 18:00:00,22.23,1.773,1.01746
2025-01-03 19:00:00,21.03,1.601,1.02091
2025-01-03 20:00:00,19.92,1.796,1.01946
2025-01-03 21:00:00,18.98,1.582,1.0159500000000001
2025-01-03 22:00:00,18.27,2.031,1.01885
2025-01-03 23:00:00,17.87,1.668,1.01801
2025-01-04 00:00:00,15.56,0.91,1.01859
2025-01-04 01:00:00,15.82,1.036,1.01653
2025-01-04 02:00:00,16.41,0.931,1.01766
2025-01-04 03:00:00,17.3,0.881,1.01782
2025-01-04 04:00:00,18.43,0.965,1.01608
2025-01-04 05:00:00,19.73,0.971,1.01388
2025-01-04 06:00:00,21.12,1.003,1.0162200000000001
2025-01-04 07:00:00,22.5,1.086,1.0163200000000001
2025-01-04 08:00:00,23.8,1.356,1.01545
2025-01-04 09:00:00,24.93,1.491,1.00972
2025-01-04 10:00:00,25.82,1.502,1.01782
2025-01-04 11:00:00,26.41,1.191,1.01478
2025-01-04 12:00:00,26.67,1.235,1.01435
2025-01-04 13:00:00,26.6,1.783,1.01494
2025-01-04 14:00:00,26.19,1.682,1.0141799999999999
2025-01-04 15:00:00,25.49,1.37,1.01224
2025-01-04 16:00:00,24.55,1.405,1.0081499999999999
2025-01-04 17:00:00,23.43,1.86,1.01047
2025-01-04 18:00:00,22.23,1.589,1.01193
2025-01-04 19:00:00,21.03,1.603,1.0121
2025-01-04 20:00:00,19.92,2.967,1.01326
2025-01-04 21:00:00,18.98,1.634,1.00932
2025-01-04 22:00:00,18.27,1.68,1.0094400000000001
2025-01-04 23:00:00,17.87,1.865,1.01062
2025-01-05 00:00:00,15.56,0.811,1.01277
2025-01-05 01:00:00,15.82,0.87,1.01129
2025-01-05 02:00:00,16.41,0.861,1.00528
2025-01-05 03:00:00,17.3,1.001,1.00368
2025-01-05 04:00:00,18.43,1.042,1.00993
2025-01-05 05:00:00,19.73,0.95,1.00962
2025-01-05 06:00:00,21.12,1.489,1.00416
2025-01-05 07:00:00,22.5,1.545,1.00481
2025-01-05 08:00:00,23.8,1.348,1.0050599999999998
2025-01-05 09:00:00,24.93,1.622,1.00579
2025-01-05 10:00:00,25.82,1.323,1.0023
2025-01-05 11:00:00,26.41,1.275,1.00178
2025-01-05 12:00:00,26.67,1.498,1.00518
2025-01-05 13:00:00,26.6,2.331,1.00324
2025-01-05 14:00:00,26.19,1.353,1.00495
2025-01-05 15:00:00,25.49,1.539,1.00436
2025-01-05 16:00:00,24.55,1.449,1.00428
2025-01-05 17:00:00,23.43,1.446,1.00436
2025-01-05 18:00:00,22.23,2.096,1.00128
2025-01-05 19:00:00,21.03,1.573,1.00529
2025-01-05 20:00:00,19.92,1.578,1.00368
2025-01-05 21:00:00,18.98,1.581,1.0054
2025-01-05 22:00:00,18.27,1.764,1.00447
2025-01-05 23:00:00,17.87,1.723,1.00443
2025-01-06 00:00:00,15.56,0.741,1.00371
2025-01-06 01:00:00,15.82,0.893,1.00455
2025-01-06 02:00:00,16.41,0.978,1.00528
2025-01-06 03:00:00,17.3,0.872,1.00008
2025-01-06 04:00:00,18.43,1.517,1.00402
2025-01-06 05:00:00,19.73,1.301,1.00599
2025-01-06 06:00:00,21.12,1.125,1.00411
2025-01-06 07:00:00,22.5,1.191,1.00536
2025-01-06 08:00:00,23.8,1.297,1.00079
2025-01-06 09:00:00,24.93,1.154,1.00393
2025-01-06 10:00:00,25.82,1.801,1.00372
2025-01-06 11:00:00,26.41,1.303,1.00271
2025-01-06 12:00:00,26.67,1.461,1.005
2025-01-06 13:00:00,26.6,1.568,1.00449
2025-01-06 14:00:00,26.19,1.337,1.0030299999999999
2025-01-06 15:00:00,25.49,1.358,1.00232
2025-01-06 16:00:00,24.55,1.433,1.00095
2025-01-06 17:00:00,23.43,1.591,1.00392
2025-01-06 18:00:00,22.23,1.544,1.00041
2025-01-06 19:00:00,21.03,1.589,1.00248
2025-01-06 20:00:00,19.92,1.558,1.00681
2025-01-06 21:00:00,18.98,1.614,1.00762
2025-01-06 22:00:00,18.27,1.688,1.00629
2025-01-06 23:00:00,17.87,1.709,1.00441
2025-01-07 00:00:00,15.56,1.024,1.0058500000000001
2025-01-07 01:00:00,15.82,0.844,1.00563
2025-01-07 02:00:00,16.41,1.685,1.00326
2025-01-07 03:00:00,17.3,0.906,1.00778
2025-01-07 04:00:00,18.43,1.684,1.00607
2025-01-07 05:00:00,19.73,1.055,1.00897
2025-01-07 06:00:00,21.12,1.038,1.00531
2025-01-07 07:00:00,22.5,1.277,1.00695
2025-01-07 08:00:00,23.8,1.574,1.0082
2025-01-07 09:00:00,24.93,1.176,1.00564
2025-01-07 10:00:00,25.82,1.274,1.00949
2025-01-07 11:00:00,26.41,1.254,1.0038
2025-01-07 12:00:00,26.67,1.396,1.00741
2025-01-07 13:00:00,26.6,1.345,1.0124
2025-01-07 14:00:00,26.19,1.803,1.01065
2025-01-07 15:00:00,25.49,1.528,1.01102
2025-01-07 16:00:00,24.55,1.462,1.01067
2025-01-07 17:00:00,23.43,2.429,1.00702
2025-01-07 18:00:00,22.23,1.589,1.01203
2025-01-07 19:00:00,21.03,1.609,1.01167
2025-01-07 20:00:00,19.92,1.734,1.0107899999999999
2025-01-07 21:00:00,18.98,1.77,1.0119500000000001
2025-01-07 22:00:00,18.27,1.696,1.01313
2025-01-07 23:00:00,17.87,1.668,1.01291
2025-01-01 00:00:00,15.98,0.811,1.01124
2025-01-01 01:00:00,16.31,0.956,1.01491
2025-01-01 02:00:00,16.98,0.883,1.01484
2025-01-01 03:00:00,17.93,0.872,1.0156399999999999
2025-01-01 04:00:00,19.13,0.956,1.01389
2025-01-01 05:00:00,20.5,1.487,1.01369
2025-01-01 06:00:00,21.96,1.25,1.01263
2025-01-01 07:00:00,23.42,1.334,1.0151000000000001
2025-01-01 08:00:00,24.79,1.102,1.02014
2025-01-01 09:00:00,25.99,1.142,1.01452
2025-01-01 10:00:00,26.94,1.178,1.01492
2025-01-01 11:00:00,27.61,1.275,1.01681
2025-01-01 12:00:00,27.94,1.3,1.0148300000000001
2025-01-01 13:00:00,27.93,1.301,1.01578
2025-01-01 14:00:00,27.6,1.444,1.0184600000000001
2025-01-01 15:00:00,26.97,1.355,1.0169
2025-01-01 16:00:00,26.09,1.381,1.02015
2025-01-01 17:00:00,25.05,1.506,1.01867
2025-01-01 18:00:00,23.92,1.629,1.02119
2025-01-01 19:00:00,22.79,1.776,1.02069
2025-01-01 20:00:00,21.75,1.736,1.02078
2025-01-01 21:00:00,20.87,1.757,1.02124
2025-01-01 22:00:00,20.24,1.842,1.01899
2025-01-01 23:00:00,19.91,2.028,1.02357
2025-01-02 00:00:00,15.98,0.98,1.0221
2025-01-02 01:00:00,16.31,0.844,1.0216699999999999
2025-01-02 02:00:00,16.98,1.092,1.02153
2025-01-02 03:00:00,17.93,0.981,1.0273299999999999
2025-01-02 04:00:00,19.13,1.162,1.02332
2025-01-02 05:00:00,20.5,1.091,1.02277
2025-01-02 06:00:00,21.96,1.319,1.02153
2025-01-02 07:00:00,23.42,1.153,1.02472
2025-01-02 08:00:00,24.79,1.303,1.0234299999999998
2025-01-02 09:00:00,25.99,1.104,1.02424
2025-01-02 10:00:00,26.94,1.316,1.0205
2025-01-02 11:00:00,27.61,1.218,1.0265199999999999
2025-01-02 12:00:00,27.94,2.019,1.02333
2025-01-02 13:00:00,27.93,1.424,1.02026
2025-01-02 14:00:00,27.6,1.426,1.0244000000000002
2025-01-02 15:00:00,26.97,1.647,1.02429
2025-01-02 16:00:00,26.09,1.389,1.02244
2025-01-02 17:00:00,25.05,1.523,1.02318
2025-01-02 18:00:00,23.92,1.499,1.02071
2025-01-02 19:00:00,22.79,1.582,1.02274
2025-01-02 20:00:00,21.75,2.264,1.02241
2025-01-02 21:00:00,20.87,1.755,1.01929
2025-01-02 22:00:00,20.24,1.98,1.02035
2025-01-02 23:00:00,19.91,1.913,1.02154
2025-01-03 00:00:00,15.98,0.83,1.02223
2025-01-03 01:00:00,16.31,0.817,1.02249
2025-01-03 02:00:00,16.98,1.145,1.02366
2025-01-03 03:00:00,17.93,0.92,1.0240799999999999
2025-01-03 04:00:00,19.13,1.632,1.02146
2025-01-03 05:00:00,20.5,1.174,1.02062
2025-01-03 06:00:00,21.96,1.464,1.0234
2025-01-03 07:00:00,23.42,1.341,1.02145
2025-01-03 08:00:00,24.79,1.358,1.02039
2025-01-03 09:00:00,25.99,1.131,1.0206
2025-01-03 10:00:00,26.94,1.306,1.02043
2025-01-03 11:00:00,27.61,1.625,1.02454
2025-01-03 12:00:00,27.94,1.474,1.0228
2025-01-03 13:00:00,27.93,1.878,1.01753
2025-01-03 14:00:00,27.6,1.643,1.02368
2025-01-03 15:00:00,26.97,1.694,1.01948
2025-01-03 16:00:00,26.09,1.88,1.01886
2025-01-03 17:00:00,25.05,1.637,1.0167899999999999
2025-01-03 18:00:00,23.92,1.616,1.0182
2025-01-03 19:00:00,22.79,1.656,1.01539
2025-01-03 20:00:00,21.75,1.635,1.02116
2025-01-03 21:00:00,20.87,1.773,1.01945
2025-01-03 22:00:00,20.24,2.229,1.01897
2025-01-03 23:00:00,19.91,1.761,1.01613
2025-01-04 00:00:00,15.98,0.793,1.02129
2025-01-04 01:00:00,16.31,1.313,1.01757
2025-01-04 02:00:00,16.98,0.826,1.01712
2025-01-04 03:00:00,17.93,1.244,1.01714
2025-01-04 04:00:00,19.13,0.968,1.01719
2025-01-04 05:00:00,20.5,1.352,1.0150599999999999
2025-01-04 06:00:00,21.96,1.384,1.01214
2025-01-04 07:00:00,23.42,1.704,1.01494
2025-01-04 08:00:00,24.79,1.541,1.01602
2025-01-04 09:00:00,25.99,1.283,1.01635
2025-01-04 10:00:00,26.94,1.241,1.01478
2025-01-04 11:00:00,27.61,1.193,1.0128300000000001
2025-01-04 12:00:00,27.94,1.549,1.00885
2025-01-04 13:00:00,27.93,1.286,1.0113400000000001
2025-01-04 14:00:00,27.6,1.352,1.01474
2025-01-04 15:00:00,26.97,1.4,1.01023
2025-01-04 16:00:00,26.09,2.559,1.0127899999999999
2025-01-04 17:00:00,25.05,1.595,1.011
2025-01-04 18:00:00,23.92,1.492,1.0094
2025-01-04 19:00:00,22.79,1.521,1.01088
2025-01-04 20:00:00,21.75,1.842,1.01201
2025-01-04 21:00:00,20.87,1.672,1.00726
2025-01-04 22:00:00,20.24,1.695,1.01164
2025-01-04 23:00:00,19.91,2.045,1.00784
2025-01-05 00:00:00,15.98,0.888,1.01025
2025-01-05 01:00:00,16.31,0.88,1.00708
2025-01-05 02:00:00,16.98,1.213,1.0078099999999999
2025-01-05 03:00:00,17.93,0.876,1.00705
2025-01-05 04:00:00,19.13,1.143,1.0088
2025-01-05 05:00:00,20.5,0.991,1.00502
2025-01-05 06:00:00,21.96,1.143,1.00816
2025-01-05 07:00:00,23.42,1.052,1.0064199999999999
2025-01-05 08:00:00,24.79,1.248,1.0062
2025-01-05 09:00:00,25.99,1.309,1.00297
2025-01-05 10:00:00,26.94,1.144,1.0039
2025-01-05 11:00:00,27.61,1.2,1.00579
2025-01-05 12:00:00,27.94,1.249,1.00233
2025-01-05 13:00:00,27.93,1.404,1.00279
2025-01-05 14:00:00,27.6,1.564,1.0018
2025-01-05 15:00:00,26.97,1.373,1.00399
2025-01-05 16:00:00,26.09,1.466,1.00189
2025-01-05 17:00:00,25.05,1.551,1.0061499999999999
2025-01-05 18:00:00,23.92,1.598,1.00281
2025-01-05 19:00:00,22.79,2.161,1.00245
2025-01-05 20:00:00,21.75,1.743,1.00002
2025-01-05 21:00:00,20.87,1.638,1.00207
2025-01-05 22:00:00,20.24,1.638,1.0045
2025-01-05 23:00:00,19.91,1.661,1.00311
2025-01-06 00:00:00,15.98,0.856,1.00253
2025-01-06 01:00:00,16.31,0.861,1.00459
2025-01-06 02:00:00,16.98,0.956,0.99863
2025-01-06 03:00:00,17.93,0.94,1.0038500000000001
2025-01-06 04:00:00,19.13,0.956,1.0015399999999999
2025-01-06 05:00:00,20.5,1.123,1.00467
2025-01-06 06:00:00,21.96,1.435,1.00401
2025-01-06 07:00:00,23.42,1.402,1.00467
2025-01-06 08:00:00,24.79,1.564,1.0019
2025-01-06 09:00:00,25.99,1.212,1.00105
2025-01-06 10:00:00,26.94,1.248,1.00298
2025-01-06 11:00:00,27.61,1.504,1.00735
2025-01-06 12:00:00,27.94,1.472,1.00439
2025-01-06 13:00:00,27.93,1.512,1.00324
2025-01-06 14:00:00,27.6,1.421,1.00111
2025-01-06 15:00:00,26.97,1.789,1.00297
2025-01-06 16:00:00,26.09,1.589,1.00514
2025-01-06 17:00:00,25.05,1.536,0.9996499999999999
2025-01-06 18:00:00,23.92,1.56,1.00249
2025-01-06 19:00:00,22.79,1.584,1.00289
2025-01-06 20:00:00,21.75,1.849,0.99986
2025-01-06 21:00:00,20.87,1.623,1.00227
2025-01-06 22:00:00,20.24,1.629,1.00031
2025-01-06 23:00:00,19.91,1.668,1.0098099999999999
2025-01-07 00:00:00,15.98,0.958,1.00735
2025-01-07 01:00:00,16.31,0.795,1.00476
2025-01-07 02:00:00,16.98,0.877,1.00654
2025-01-07 03:00:00,17.93,0.869,1.00269
2025-01-07 04:00:00,19.13,1.195,1.00477
2025-01-07 05:00:00,20.5,1.048,1.00522
2025-01-07 06:00:00,21.96,0.982,1.00639
2025-01-07 07:00:00,23.42,1.182,1.011
2025-01-07 08:00:00,24.79,1.416,1.00542
2025-01-07 09:00:00,25.99,1.54,1.00556
2025-01-07 10:00:00,26.94,1.171,1.00519
2025-01-07 11:00:00,27.61,1.336,1.00479
2025-01-07 12:00:00,27.94,1.837,1.00908
2025-01-07 13:00:00,27.93,1.429,1.00978
2025-01-07 14:00:00,27.6,1.776,1.01008
2025-01-07 15:00:00,26.97,1.628,1.00764
2025-01-07 16:00:00,26.09,1.59,1.01002
2025-01-07 17:00:00,25.05,2.186,1.01189
2025-01-07 18:00:00,23.92,1.472,1.01252
2025-01-07 19:00:00,22.79,1.792,1.00994
2025-01-07 20:00:00,21.75,1.941,1.01404
2025-01-07 21:00:00,20.87,1.766,1.01599
2025-01-07 22:00:00,20.24,1.743,1.01109
2025-01-07 23:00:00,19.91,1.995,1.0144199999999999
2025-01-01 00:00:00,15.26,0.77,1.01221
2025-01-01 01:00:00,15.48,1.172,1.01133
2025-01-01 02:00:00,16.02,0.833,1.01248
2025-01-01 03:00:00,16.86,0.874,1.01394
2025-01-01 04:00:00,17.94,1.091,1.01465
2025-01-01 05:00:00,19.19,1.032,1.01549
2025-01-01 06:00:00,20.52,1.112,1.01625
2025-01-01 07:00:00,21.86,1.065,1.01369
2025-01-01 08:00:00,23.11,1.088,1.01673
2025-01-01 09:00:00,24.19,1.203,1.0187599999999999
2025-01-01 10:00:00,25.03,1.389,1.01527
2025-01-01 11:00:00,25.57,1.199,1.01625
2025-01-01 12:00:00,25.79,1.293,1.0172999999999999
2025-01-01 13:00:00,25.66,1.271,1.01784
2025-01-01 14:00:00,25.2,1.369,1.0172
2025-01-01 15:00:00,24.45,1.411,1.01732
2025-01-01 16:00:00,23.46,1.434,1.01776
2025-01-01 17:00:00,22.3,1.465,1.01662
2025-01-01 18:00:00,21.05,1.477,1.01271
2025-01-01 19:00:00,19.8,1.561,1.01798
2025-01-01 20:00:00,18.64,1.81,1.02047
2025-01-01 21:00:00,17.64,1.998,1.02278
